code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0632;Woerden;Utrecht;50575;24970;25605;19;11;25;28;16;87;6;7
0637;Zoetermeer;Zuid-Holland;123560;60400;63160;17;12;25;30;15;70;11;19
0638;Zoeterwoude;Zuid-Holland;8075;4010;4060;16;13;20;33;19;89;6;5
0642;Zwijndrecht;Zuid-Holland;44545;21640;22905;16;11;24;27;21;81;7;12
0643;Nederlek;Zuid-Holland;14075;6935;7135;16;13;22;30;20;91;6;3
0644;Ouderkerk;Zuid-Holland;8210;4060;4150;19;13;23;27;18;93;4;3
0654;Borsele;Zeeland;22580;11410;11170;19;11;23;29;18;92;6;2
0664;Goes;Zeeland;36955;18035;18915;15;11;23;29;21;85;8;7
0668;West Maas en Waal;Gelderland;18420;9145;9275;16;11;22;33;18;93;5;2
0677;Hulst;Zeeland;27385;13655;13730;14;9;22;32;22;75;23;2
0678;Kapelle;Zeeland;12500;6210;6285;19;11;23;29;18;93;5;2
0687;Middelburg;Zeeland;47640;23145;24495;17;12;24;28;20;84;9;7
0689;Giessenlanden;Zuid-Holland;14440;7340;7100;19;12;22;29;17;94;4;2
0703;Reimerswaal;Zeeland;21925;11010;10915;22;13;25;24;16;88;8;4
0707;Zederik;Zuid-Holland;13655;6830;6825;19;13;23;27;17;95;3;2
0715;Terneuzen;Zeeland;54710;27180;27530;15;10;22;29;23;76;17;7
0716;Tholen;Zeeland;25405;12680;12725;20;13;24;27;17;92;5;3
0717;Veere;Zeeland;21865;10930;10935;16;11;20;30;24;92;6;2
0718;Vlissingen;Zeeland;44445;22135;22305;15;12;24;28;21;76;13;11
0733;Lingewaal;Gelderland;11060;5500;5560;18;12;23;31;17;92;5;3
0736;De Ronde Venen;Utrecht;42640;21155;21485;17;12;21;31;18;86;8;6
0737;Tytsjerksteradiel;Friesland;31970;15950;16025;18;11;22;29;21;94;3;3
0738;Aalburg;Noord-Brabant;12845;6490;6355;20;13;24;27;16;96;3;1
0743;Asten;Noord-Brabant;16440;8455;7985;17;12;22;31;19;91;6;3
0744;Baarle-Nassau;Noord-Brabant;6610;3355;3255;14;10;21;31;24;75;23;2
0748;Bergen op Zoom;Noord-Brabant;66420;32880;33535;16;11;24;30;19;76;10;14
0753;Best;Noord-Brabant;28615;14335;14280;18;12;23;31;17;86;8;6
0755;Boekel;Noord-Brabant;10090;5160;4925;19;12;22;30;16;94;5;1
0756;Boxmeer;Noord-Brabant;28145;14070;14075;16;12;21;33;19;90;7;3
