PC4;X;Y
2409;104350.355718367;457707.546434694
2411;112242.007337783;456608.350098177
2412;112237.280396894;454221.936998137
2415;115642.808955624;454278.300976278
2421;114336.505448801;460357.00652769
2431;117314.575666304;464298.170461413
2432;118304.979328169;464812.458345774
2435;116114.176085164;466939.608547512
2441;113031.877811185;469092.111237284
2445;109403.944821368;461459.500519444
2451;108961.561204106;470367.247767792
2461;109412.235091798;465834.978653752
2465;105849.998018597;467963.32988811
2471;109422.370107554;457698.635197482
2481;103972.700486136;465183.983786818
2491;86791.25871377;453784.814325401
2492;88230.9219450679;453506.820403741
2493;87423.2706282913;452682.132547059
2495;84382.5615421768;452378.339055102
2496;85840.5988857376;451808.287228197
2497;84856.8046669682;450256.806941855
2498;86141.5082947367;449840.196152632
2511;81552.5485721784;454931.872609842
2512;80748.2458191956;454463.181645887
2513;80703.3469793946;454948.987474272
2514;81073.2669885223;456029.70280752
2515;81706.4305302046;454202.060124136
2516;82707.6093915234;453655.634966781
2517;79535.3392144363;455728.82074911
2518;79999.8830263117;455304.523980076
2521;82010.2747544494;453326.779013876
2522;82245.6412932835;453043.386340512
2523;81738.389736194;452596.526257836
2524;81526.3764516046;452322.477372015
2525;80748.7115094971;453525.224314445
2526;81029.344907258;453874.470642097
2531;80517.472133154;452060.668208154
2532;80291.6640554052;451716.261332722
2533;79712.2544524851;451991.923144061
2541;78674.8138167879;451492.51274197
2542;78071.0742107431;450515.190718659
2543;77764.4781373845;450692.958550769
2544;77577.8172050875;451191.140613511
2545;78606.0923448698;451920.952578252
2546;78577.058563961;452787.590722727
2547;78103.1178680746;453019.759800812
2548;79657.1316093818;449592.202489845
2551;76041.4271016457;452930.412054017
2552;76890.440935562;452655.33851565
2553;75366.7576898613;452023.622247834
2554;75076.7743332885;453344.875727785
2555;75910.7457848729;453232.617139616
2561;78780.3522700175;454730.885830041
2562;79075.5728875156;454758.095293162
2563;78511.9859358076;454612.049808098
2564;77692.1044302307;454017.437924769
2565;77952.7283840982;454803.465070265
2566;77082.8010153129;455033.060944755
